speciesId	compartment	initialConcentration	annotation	Source Mapping	HGNC	Annotation	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15
nuc_prot_i_CCND__CDK4_	Nucleus	0.5891171682	P24385,P30279, P30281, P11802, Q00534	Mdi	CCND1, CCND2, CCND3, CDK4, CDK6	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810							
nuc_prot_CCND__CDK4_	Nucleus	3.85369761	P24385,P30279, P30281, P11802, Q00534	Md	CCND1, CCND2, CCND3, CDK4, CDK6	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810							
nuc_prot_CCND__CDK4__CDKN1B_	Nucleus	0.787522147	P24385,P30279, P30281, P11802, Q00534, P46527	Mdp27	CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1B	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000105810	ENSG00000111276						
nuc_prot_CCNE_	Nucleus	0.2553392305	P24864, O96020	Ce	CCNE1, CCNE2	ENSG00000105173	ENSG00000175305										
nuc_prot_i_CCNE__CDK2_	Nucleus	0.8895689476	P24864, O96020, P24941	Mei	CCNE1, CCNE2, CDK2	ENSG00000105173	ENSG00000175305	ENSG00000123374									
nuc_prot_CCNE__CDK2_	Nucleus	2.746655183	P24864, O96020, P24941	Me	CCNE1, CCNE2, CDK2	ENSG00000105173	ENSG00000175305	ENSG00000123374									
nuc_prot_SKP2_	Nucleus	11.40896301	Q13309	Skp2	SKP2 	ENSG00000145604											
nuc_prot_CCNE__CDK2__CDKN1B_	Nucleus	1.122585115	P24864, O96020, P24941 P46527	Mep27	CCNE1, CCNE2, CDK2, CDKN1B	ENSG00000105173	ENSG00000175305	ENSG00000123374	ENSG00000111276								
nuc_prot_CDC25__CCNE__CDK2_	Nucleus	141.2881402	P30304, P30305, P30307, P24864, O96020, P24941	Pe	CDC25A	ENSG00000164045											
nuc_prot_i_p_CDC25__CCNA__CDK2_	Nucleus	49.17500389	P30304, 30305, 30307, P20248, P24941	Pai	CDC25B	ENSG00000101224											
nuc_prot_i_CDC25__CCNE__CDK2_	Nucleus	16.02256602	P30304, 30305, 30307, 000026768	Pei	CDC25A	ENSG00000164045											
nuc_prot_i_CDC25__CCNB__CDK1_	Nucleus	55.29821475	P30304, 30305, 30307, P14635, O95067, Q8WWL7, P06493	Pbi	CDC25C	ENSG00000158402											
nuc_prot_CCNA_	Nucleus	4.029092509	P78396, P20248	Ca	CCNA2	ENSG00000145386											
nuc_prot_i_CCNA__CDK2_	Nucleus	14.03683866	P78396, P20248, P24941	Mai	CCNA2, CDK2	ENSG00000145386	ENSG00000123374										
nuc_prot_CCNA__CDK2_	Nucleus	5.235356085	P78396, P20248, P24941	Ma	CCNA2, CDK2	ENSG00000145386	ENSG00000123374										
nuc_prot_CCNA__CDK2__CDKN1B_	Nucleus	1.283844951	P78396, P20248, P24941, P46527	Map27	CCNA2, CDK2, CDKN1B	ENSG00000145386	ENSG00000123374	ENSG00000111276	ENSG00000111276								
nuc_prot_CDKN1B_	Nucleus	20.43549408	P46527	p27	CDKN1B 	ENSG00000111276											
nuc_prot_i_CDH1_	Nucleus	0.5985884632	P12830	Cdh1i	CDH1	ENSG00000039068											
nuc_prot_CDH1_	Nucleus	108.8028846	P12830	Cdh1a	CDH1	ENSG00000039068											
nuc_prot_p_E2F_	Nucleus	11.60507992	Q01094, Q14209, O00716, Q16254, Q15329, O75461, Q96AV8, A0AVK6	E2Fp	E2F1, E2F2, E2F3	ENSG00000101412	ENSG00000007968	ENSG00000112242									
nuc_prot_p_CDKN1B_	Nucleus	4.204625911	P46527	p27p	CDKN1B 	ENSG00000111276											
nuc_prot_p_CDC25__CCNA__CDK2_	Nucleus	41.64971959	P30304, 30305, 30307, P20248, P24941	Pa	CDC25B	ENSG00000101224											
nuc_prot_CCNB_	Nucleus	3.443669431	P14635, O95067, Q8WWL7, P06493	Cb	CCNB1	ENSG00000134057											
nuc_prot_i_CCNB__CDK1_	Nucleus	3.901124927	P14635, O95067, Q8WWL7, P06493	Mbi	CCNB1, CDK1	ENSG00000134057	ENSG00000170312										
nuc_prot_CCNB__CDK1_	Nucleus	0.6842719645	P14635, O95067, Q8WWL7, P06493	Mb	CCNB1, CDK1	ENSG00000134057	ENSG00000170312										
nuc_prot_i_CDC20_	Nucleus	71.16747301	Q12834	Cdc20i	CDC20	ENSG00000117399											
nuc_prot_CDC20_	Nucleus	0.7301463448	Q12834	Cdc20a	CDC20	ENSG00000117399											
nuc_prot_CDC25__CCNB__CDK1_	Nucleus	9.403016576	P30304, P30305, P30307, P14635, O95067, Q8WWL7, P06493	Pb	CDC25C	ENSG00000158402											
nuc_prot_WEE1_	Nucleus	26.5188928	P30291	Wee1	WEE1 	ENSG00000166483											
nuc_prot_p_WEE1_	Nucleus	16.74041512	P30291	Wee1p	WEE1 	ENSG00000166483											
nuc_prot_CCNB__CDK1__CDKN1B_	Nucleus	0.08390062297	P14635, O95067, Q8WWL7, P06493, P46527	Mbp27	CCNB1, CDK1, CDKN1B	ENSG00000134057	ENSG00000170312	ENSG00000111276									
nuc_prot_CHEK1_	Nucleus	0.1497720439	O14757	Chk1	CHEK1 	ENSG00000149554											
nuc_prot_RB1__E2F_	Nucleus	8918.824124	P06400, Q01094, Q14209, O00716, Q16254, Q15329, O75461, Q96AV8, A0AVK6	pRBc1	RB1, E2F1, E2F2, E2F3	ENSG00000139687	ENSG00000101412	ENSG00000007968	ENSG00000112242								
nuc_prot_p_RB1__E2F_	Nucleus	0.2991284689	P06400, Q01094, Q14209, O00716, Q16254, Q15329, O75461, Q96AV8, A0AVK6	pRBc2	RB1, E2F1, E2F2, E2F3	ENSG00000139687	ENSG00000101412	ENSG00000007968	ENSG00000112242								
nuc_prot_CDKN1A_	Nucleus	20.87340931	P38936	p21	CDKN1A	ENSG00000124762											
nuc_prot_CCND__CDK4__CDKN1A_	Nucleus	0.4826389818	P24385,P30279, P30281, P11802, Q00534, P38936	Mdp21	CCND1, CCND2, CCND3, CDK4, CDK6, CDKN1A	ENSG00000110092	ENSG00000118971	ENSG00000112576	ENSG00000135446	ENSG00000124762							
nuc_prot_CCNE__CDK2__CDKN1A_	Nucleus	0.2293282558	P24864, O96020, P46527, P38936	Mep21	CCNE1, CCNE2, CDK2, CDKN1A	ENSG00000105173	ENSG00000175305	ENSG00000123374	ENSG00000124762								
nuc_prot_CCNA__CDK2__CDKN1A_	Nucleus	0.2622714049	P78396, P20248, P24941, P38936	Map21	CCNA2, CDK2, CDKN1A	ENSG00000145386	ENSG00000123374	ENSG00000124762									
nuc_prot_CCNB__CDK1__CDKN1A_	Nucleus	0.01713970232	P14635, O95067, Q8WWL7, P06493, P38936	Mbp21	CCNB1, CDK1, CDKN1A	ENSG00000134057	ENSG00000170312	ENSG00000124762									
exc_prot_TNFSF10_	Extracellular	2.21E-17	P50591	L	TNFSF10	ENSG00000121858											
cyt_prot_TNFRSF10_	Cytoplasm	8.031117651	O00220, O14763	R	TNFRSF10A, TNFRSF10B	ENSG00000104689	ENSG00000120889										
cyt_prot_TNFSF10__TNFRSF10_	Cytoplasm	2.24E-16	P50591, O00220, O14763	L_R	TNFSF10, TNFRSF10A, TNFRSF10B	ENSG00000121858	ENSG00000104689	ENSG00000120889									
cyt_prot_a_TNFRSF10_	Cytoplasm	7.56E-20	O00220, O14763	Ractive	TNFRSF10A, TNFRSF10B	ENSG00000104689	ENSG00000120889										
cyt_prot_CFLAR_	Cytoplasm	0.5259203514	O15519	flip	CFLAR	ENSG00000003402											
cyt_prot_a_TNFRSF10__CFLAR_	Cytoplasm	1.05E-19	O00220, O14763, O15519	Ractive_flip	TNFRSF10A, TNFRSF10B, CFLAR	ENSG00000104689	ENSG00000120889	ENSG00000003402									
cyt_prot_p_CASP8_	Cytoplasm	26.5263809	Q14790, Q92851	pC8	CASP8, CASP10	ENSG00000064012	ENSG00000003400										
cyt_prot_a_TNFRSF10__p_CASP8_	Cytoplasm	6.34E-21	O00220, O14763, Q14790, Q92851	Ractive_pC8	TNFRSF10A, TNFRSF10B, CASP8, CASP10	ENSG00000104689	ENSG00000120889	ENSG00000064012	ENSG00000003400								
cyt_prot_i_CASP8_	Cytoplasm	0.0005051866364	Q14790, Q92851	C8	CASP8, CASP10	ENSG00000064012	ENSG00000003400										
cyt_prot_BFAR_	Cytoplasm	0.8411539614	Q9NZS9	Bar	BFAR	ENSG00000103429											
cyt_prot_CASP8__BFAR_	Cytoplasm	0.001306372322	Q14790, Q92851, Q9NZS9	C8_Bar	BFAR, CASP8, CASP10	ENSG00000103429	ENSG00000064012	ENSG00000003400									
cyt_prot_p_CASP3_	Cytoplasm	79.9328682	P42574, P55210	pC3	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
cyt_prot_CASP8__p_CASP3_	Cytoplasm	0.006376929866	Q14790, Q92851, P42574, P55210	C8_pC3	CASP8, CASP10, CASP3, CASP7	ENSG00000064012	ENSG00000003400	ENSG00000164305	ENSG00000165806								
cyt_prot_CASP3_	Cytoplasm	0.0002025657987	P42574, P55210	C3	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
cyt_prot_p_CASP6_	Cytoplasm	47.67662922	P55212	pC6	CASP6	ENSG00000138794											
cyt_prot_CASP3__CASP6_	Cytoplasm	3.05E-08	P42574, P55210, P55212	C3_pC6	CASP3, CASP7, CASP6	ENSG00000164305	ENSG00000165806	ENSG00000138794									
cyt_prot_CASP6_	Cytoplasm	0.0005733205948	P55212	C6	CASP6	ENSG00000138794											
cyt_prot_CASP6__CASP8_	Cytoplasm	1.44E-07	P55212, Q14790, Q92851	C6_C8	CASP6, CASP8, CASP10	ENSG00000138794	ENSG00000064012	ENSG00000003400									
cyt_prot_XIAP_	Cytoplasm	5.269689424	P98170	XIAP	XIAP	ENSG00000101966											
cyt_prot_CASP3__XIAP_	Cytoplasm	6.68E-05	P42574, P55210, P98170	C3_XIAP	CASP3, CASP7, XIAP	ENSG00000164305	ENSG00000165806	ENSG00000101966									
cyt_prot_PARP1_	Cytoplasm	639.6157705	P09874	PARP	PARP1	ENSG00000143799											
cyt_prot_CASP3__PARP1_	Cytoplasm	4.06E-06	P42574, P55210, P09874	C3_PARP	CASP3, CASP7, PARP1	ENSG00000164305	ENSG00000165806	ENSG00000143799									
cyt_prot_cl_PARP1_	Cytoplasm	1.619665788	P09874	cPARP	PARP1	ENSG00000143799											
cyt_prot_BID_	Cytoplasm	50.47541201	P55957	Bid	BID	ENSG00000015475											
cyt_prot_CASP8__BID_	Cytoplasm	7.31E-05	Q14790, Q92851, P55957	C8_Bid	CASP8, CASP10, BID	ENSG00000064012	ENSG00000003400	ENSG00000015475									
cyt_prot_cl_BID_	Cytoplasm	1.60E-06	P55957	tBid	BID	ENSG00000015475											
cyt_prot_BCL2_	Cytoplasm	12.4806229	P10415	Bcl2c	BCL2, BCL2L1, MCL1	ENSG00000171791	ENSG00000171552	ENSG00000143384									
cyt_prot_cl_BID__BCL2_	Cytoplasm	5.62E-05	P55957, P10415	tBid_Bcl2c	BID, BCL2, BCL2L1, MCL1	ENSG00000015475	ENSG00000171791	ENSG00000171552	ENSG00000143384								
cyt_prot_i_BAX_	Cytoplasm	88.22685878	Q07812	Bax	BAX	ENSG00000087088											
cyt_prot_cl_BID__a_BAX_	Cytoplasm	4.46E-08	P55957, Q07812	tBid_Bax	BID, BAX	ENSG00000015475	ENSG00000087088										
cyt_prot_a_BAX_	Cytoplasm	0.0001441807424	Q07812	Baxactive	BAX	ENSG00000087088											
mit_prot_a_BAX_	Mitochondrion	0.001926774373	Q07812	Baxm	BAX	ENSG00000087088											
mit_prot_BCL2_	Mitochondrion	1.780761749	P10415	Bcl2	BCL2, BCL2L1, MCL1	ENSG00000171791	ENSG00000171552	ENSG00000143384									
mit_prot_BAX__BCL2_	Mitochondrion	0.009670088024	Q07812, P10415	Baxm_Bcl2	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
mit_prot_a_BAX__a_BAX_	Mitochondrion	0.0001173834856	Q07812	Bax2	BAX	ENSG00000087088											
mit_prot_a_BAX__a_BAX__BCL2_	Mitochondrion	0.0005891237988	Q07812, P10415	Bax2_Bcl2	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
mit_prot_a_BAX__a_BAX__a_BAX__a_BAX_	Mitochondrion	4.36E-07	Q07812	Bax4	BAX	ENSG00000087088											
mit_prot_a_BAX__a_BAX__a_BAX__a_BAX_BCL2_	Mitochondrion	2.19E-06	Q07812, P10415	Bax4_Bcl2	BAX, BCL2, BCL2L1, MCL1	ENSG00000087088	ENSG00000171791	ENSG00000171552	ENSG00000143384								
mit_implicit_Membrane_	Mitochondrion	2259.969091	GO:0005739	M		GO:0005739											
mit_mixed_a_BAX__a_BAX__a_BAX__a_BAX__Membrane_	Mitochondrion	3.11E-06	GO:0005739, Q07812	Bax4_M	BAX	ENSG00000087088											
mit_implicit_a_Membrane_	Mitochondrion	0.0003110284153	GO:0005739	Mactive		GO:0005739											
mit_mixed_CYC1__Membrane_	Mitochondrion	15542.58969	GO:0005739, P08574	CytoCm	CYC1	ENSG00000179091											
mit_prot_a_Membrane__CYC1_	Mitochondrion	0.02779283998	GO:0005739, P08574	Mactive_CytoCm	CYC1	GO:0005739	ENSG00000179091										
mit_prot_CYC1_	Mitochondrion	0.2778550028	P08574	CytoCr	CYC1	ENSG00000179091											
mit_mixed_DIABLO__Membrane_	Mitochondrion	1450.93993	GO:0005739, Q9NR28	Smacm	DIABLO	ENSG00000184047											
mit_mixed_a_Membrane__DIABLO_	Mitochondrion	0.002594531676	GO:0005739, Q9NR28	Mactive_Smacm	DIABLO	ENSG00000184047											
mit_prot_DIABLO_	Mitochondrion	0.02083931858	Q9NR28	Smacr	DIABLO	ENSG00000184047											
cyt_prot_CYC1_	Cytoplasm	0.01944728057	P08574	CytoC	CYC1	ENSG00000179091											
cyt_prot_i_APAF1_	Cytoplasm	0.09689042078	O14727	Apaf	APAF1	ENSG00000120868											
cyt_prot_CYC1__APAF1_	Cytoplasm	2.98E-06	P08574, O14727	CytoC_Apaf	CYC1, APAF1	ENSG00000179091	ENSG00000120868										
cyt_prot_a_APAF1_	Cytoplasm	0.01099338724	O14727	Apafactive	APAF1	ENSG00000120868											
cyt_prot_i_PCSK9_	Cytoplasm	3.457423761	Q8NBP7	pC9	PCSK9	ENSG00000169174											
cyt_prot_a_APAF1__i_PCSK9_	Cytoplasm	0.003099873576	O14727, Q8NBP7	Apop	PCSK9, APAF1	ENSG00000169174	ENSG00000120868										
cyt_prot_a_APAF1__i_PCSK9__CASP3_	Cytoplasm	0.003541869409	O14727, Q8NBP7, P42574, P55210	Apop_C3	PCSK9, APAF1, CASP3, CASP7	ENSG00000169174	ENSG00000120868	ENSG00000164305	ENSG00000165806								
cyt_prot_DIABLO_	Cytoplasm	0.001101638753	Q9NR28	Smac	DIABLO	ENSG00000184047											
cyt_prot_a_APAF1__i_PCSK9__XIAP_	Cytoplasm	0.1004381305	O14727, Q8NBP7, P98170	Apop_XIAP	PCSK9, APAF1, XIAP	ENSG00000169174	ENSG00000120868	ENSG00000101966									
cyt_prot_DIABLO__XIAP_	Cytoplasm	0.1249285759	Q9NR28, P98170	Smac_XIAP	DIABLO, XIAP	ENSG00000184047	ENSG00000101966										
cyt_prot_u_CASP3_	Cytoplasm	2.870304688	P42574, P55210	C3_Ub	CASP3, CASP7	ENSG00000164305	ENSG00000165806										
cyt_prot_BAD_	Cytoplasm	0.09507959995	Q92934	BAD	BAD	ENSG00000002330											
cyt_prot_BBC3_	Cytoplasm	0.02909906781	Q9BXH1	PUMA	BBC3	ENSG00000105327											
cyt_prot_PMAIP1_	Cytoplasm	0.005557139906	Q13794	NOXA	PMAIP1	ENSG00000141682											
cyt_prot_BCL2__BAD_	Cytoplasm	3.344393378	P10415, Q92934	Bcl2c_BAD	BCL2, BCL2L1, MCL1, BAD	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000002330								
cyt_prot_BCL2__BBC3_	Cytoplasm	1.023550054	P10415, Q9BXH1	Bcl2c_PUMA	BCL2, BCL2L1, MCL1, PUMA	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000105327								
cyt_prot_BCL2__PMAIP1_	Cytoplasm	0.1943622176	P10415, Q13794	Bcl2c_NOXA	BCL2, BCL2L1, MCL1, NOXA	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000141682								
cyt_prot_BCL2L11_	Cytoplasm	0.06038534651	O43521	BIM	BCL2L11	ENSG00000153094											
cyt_prot_BCL2L11__a_BAX_	Cytoplasm	8.41E-08	O43521, Q07812	BIM_Bax	BCL2L11, BAX	ENSG00000153094	ENSG00000087088										
cyt_prot_BCL2__BCL2L11_	Cytoplasm	2.124034525	P10415, O43521	Bcl2c_BIM	BCL2, BCL2L1, MCL1, BCL2L11	ENSG00000171791	ENSG00000171552	ENSG00000143384	ENSG00000153094								
cyt_prot_p_p_MAPK__BCL2L11_	Cytoplasm	0.0005970032356	P28482, Q16644, P27361, O43521	ppERK_BIM	MAPK1, MAPK3, BCL2L11	ENSG00000100030	ENSG00000102882	ENSG00000153094									
cyt_prot_p_BCL2L11_	Cytoplasm	0.1058178115	O43521	pBIM	BCL2L11	ENSG00000153094											
cyt_prot_p_p_AKT__BAD_	Cytoplasm	3.36E-05	P31749, P31751, Q9Y243, Q92934	ppAKT_BAD	AKT1, AKT2, BAD	ENSG00000142208	ENSG00000105221	ENSG00000002330									
cyt_prot_p_BAD_	Cytoplasm	0.8912808864	Q92934	pBAD	BAD	ENSG00000002330											
cyt_prot_p_p_MAPK__BAD_	Cytoplasm	0.0009400569297	P28482, Q16644, P27361, Q92934	ppERK_BAD	MAPK1, MAPK3, BAD	ENSG00000100030	ENSG00000102882	ENSG00000002330									
exc_prot_EGF_	Extracellular	8.40E-17	P01133	E	EGF	ENSG00000138798											
exc_prot_NRG1_	Extracellular	9.33E-15	Q02297	H	NRG1	ENSG00000157168											
exc_prot_HGF_	Extracellular	2.30E-15	P14210	HGF	HGF	ENSG00000019991											
exc_prot_PDGFB_	Extracellular	2.86E-19	P01127, P04085, P01133	P	PDGFB	ENSG00000100311											
exc_prot_FGF_	Extracellular	4.13E-16	P05230, P09038,  P11487, P08620, P12034, P10767, P21781, P55075, P31371, O15520, Q92914, P61328, Q92913, Q92915, O43320, O60258, O76093, O95750, Q9NP95, Q9NSA1, Q9HCT0, Q9GZV9	F	FGF1, FGF2	ENSG00000113578	ENSG00000138685										
exc_prot_IGF_	Extracellular	1.26E-18	P05019,P01344	I	IGF1, IGF2	ENSG00000017427	ENSG00000167244										
exc_prot_INS_	Extracellular	8.95E-15	P01308	INS	INS	ENSG00000254647											
cyt_prot_EGFR_	Cytoplasm	50.1219597	P00533	E1	EGFR	ENSG00000146648											
cyt_prot_p_EGFR_	Cytoplasm	4.954806943	P00533	pE1	EGFR	ENSG00000146648											
cyt_prot_ERBB2_	Cytoplasm	3.805080167	P04626	E2	ERBB2	ENSG00000141736											
cyt_prot_p_ERBB2_	Cytoplasm	0.3761707462	P04626	pE2	ERBB2	ENSG00000141736											
cyt_prot_ERBB3_	Cytoplasm	1.739750707	P21860	E3	ERBB3	ENSG00000065361											
cyt_prot_ERBB4_	Cytoplasm	7.27E-28	Q15303	E4	ERBB4	ENSG00000178568											
cyt_prot_p_ERBB4_	Cytoplasm	7.18E-29	Q15303	pE4	ERBB4	ENSG00000178568											
cyt_prot_EGFRvIII_	Cytoplasm	4.65E-11	VAR_066493	Ev3													
cyt_prot_MET_	Cytoplasm	8.573223223	P08581	Met	MET	ENSG00000105976											
cyt_prot_PDGFRB_	Cytoplasm	0.2296760081	P09619, P16234	Pr	PDGFRA, PDGFRB	ENSG00000134853	ENSG00000113721										
cyt_prot_FGFR_	Cytoplasm	0.1867129635	P11362, P21802	Fr	FGFR1, FGFR2	ENSG00000077782	ENSG00000066468										
cyt_prot_IGF1R_	Cytoplasm	0.02181478989	P08069	Ir	IGF1R	ENSG00000140443											
cyt_prot_INSR_	Cytoplasm	0.02979621395	P06213	Isr	INSR	ENSG00000171105											
cyt_prot_EGFR__EGFR_	Cytoplasm	2.512172788	P00533	E1E1	EGFR	ENSG00000146648											
cyt_prot_EGFR__ERBB2_	Cytoplasm	0.1907151857	P00533, P04626	E1E2	EGFR, ERBB2	ENSG00000146648	ENSG00000141736										
cyt_prot_EGFR__ERBB3_	Cytoplasm	0.08719839388	P00533, P21860	E1E3	EGFR, ERBB3	ENSG00000146648	ENSG00000065361										
cyt_prot_EGFR__ERBB4_	Cytoplasm	3.64E-29	P00533, Q15303	E1E4	EGFR, ERBB4	ENSG00000146648	ENSG00000178568										
cyt_prot_ERBB2__ERBB2_	Cytoplasm	0.01447848456	P04626	E2E2	ERBB2	ENSG00000141736											
cyt_prot_ERBB2__ERBB3_	Cytoplasm	0.006619809285	P04626, P21860	E2E3	ERBB2, ERBB3	ENSG00000141736	ENSG00000065361										
cyt_prot_ERBB2__ERBB4_	Cytoplasm	2.76E-30	P04626, Q15303	E2E4	ERBB2, ERBB4	ENSG00000141736	ENSG00000178568										
cyt_prot_ERBB3__ERBB4_	Cytoplasm	1.26E-30	P21860, Q15303	E3E4	ERBB3	ENSG00000065361	ENSG00000178568										
cyt_prot_ERBB4__ERBB4_	Cytoplasm	5.28E-58	Q15303	E4E4	ERBB4	ENSG00000178568											
cyt_prot_MET__MET_	Cytoplasm	0.07349967525	P08581	Met_Met	MET	ENSG00000105976											
cyt_prot_FGFR__FGFR_	Cytoplasm	3.49E-05	P11362, P21802	FrFr	FGF1, FGF2	ENSG00000113578	ENSG00000138685										
cyt_prot_IGF1R__IGF1R_	Cytoplasm	0.7268990861	, P08069	IrIr	IGF1R	ENSG00000140443											
cyt_prot_INSR__INSR_	Cytoplasm	0.3089398557	P06213	Isr_Isr	INSR	ENSG00000171105											
cyt_prot_EGF__EGFR_	Cytoplasm	1.57E-17	P01133, P00533	EE1	EGF, EGFR	ENSG00000138798	ENSG00000146648										
cyt_prot_NRG1__ERBB3_	Cytoplasm	1.56E-16	Q02297, P21860	HE3	NRG1, ERBB3	ENSG00000157168	ENSG00000065361										
cyt_prot_NRG1__ERBB4_	Cytoplasm	6.50E-44	Q02297, Q15303	HE4	NRG1, ERBB4	ENSG00000157168	ENSG00000178568										
cyt_prot_HGF__MET_	Cytoplasm	7.11E-14	P14210, P08581	HGF_Met	HGF, MET	ENSG00000019991	ENSG00000105976										
cyt_prot_PDGFB__PDGFRB_	Cytoplasm	6.56E-20	P16234, P01127, P04085, P09619, P01133	PPr	PDGFB, PDGFRA, PDGFRB	ENSG00000100311	ENSG00000134853	ENSG00000113721									
